SubscriptionId,start_date,stop_date,month,time,pv,readingDayNum,sessionNum,mobileUse,desktopUse,tabletUse,abDisabledPct,abEnabledPct,abnoResponsePct,news,business,sports,food,entertainment,local,trivia,chronicle vault,travel,ion,nonHome,homePVPct,homePVDay,nonHomePVDay,sentimentScore,chronicle investigations,page not found,sf chronicle,newsletters,customer service,election,membership,biz & tech,our san francisco,living,search,opinion,profile
11035696,3/10/18,8/7/18,1,282.5066667,4,1,1,0,1,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,1,2,0.5,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
11035696,3/10/18,8/7/18,2,820.444,9,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.666666667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11035696,3/10/18,8/7/18,3,3925.938673,32,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0.25,2.666666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11035696,3/10/18,8/7/18,4,345.345,10,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0.4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11035696,3/10/18,8/7/18,5,302.4766667,6,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.333333333,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11766665,6/19/18,8/8/18,1,473.2588333,20,9,11,0.842105263,0.157894737,0,0,0,0,0,6,1,0,0,0,0,0,0,0,20,0,0,2.222222222,-6,0,0,0,0,0,0,0,0,0,0,0,0,2
11766665,6/19/18,8/8/18,2,254.27,13,7,8,0.769230769,0.230769231,0,0,0,0,1,1,0,2,0,0,0,0,0,0,13,0,0,1.857142857,-12,0,0,0,0,0,0,0,0,0,0,0,3,0
11934648,10/1/17,10/16/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,7,391.633875,9,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11934648,10/1/17,10/16/18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
