product_id|page_id|exposures|purchases|Nhelp|Nnothelp|verified|price|valence|category_name_complete|brand_name|review_comments
1075028|15097|75|1|7|0|0|2.99|5|NonRx:medicine & health:digestion & nausea:children's digestive aids:|Fleet|Very easy to hold in and apply with one hand, which is a big deal you won't appreciate until you need it.
1080685|55546|164|12|22|1|0|6.67|5|NonRx:medicine & health:condoms, fertility & pregnancy tests:condoms & contracept|Sheer Glyde|These have been a wonderful addition to our relationship. For many reasons you may desire a barrier. These are far superior to the old standard dental dam; in fact there isn't a comparison to the two. They provide complete coverage, are ultra thin and are next to nothing. The flavors are subtle and pleasing. We recommend a small amount of silicon lube under it.
1103700|157490|321|1|0|0|0|5.7831034483|4|NonRx:household, food & pets:outdoor & garden:insect & pest control:|Raid|Excellent Product! Almost Instant Killing Wasps & Nest On Side of Aluminum Siding Home WITHOUT Getting Stung! Sprays effectively from 20 feet away! I only wish it was environmentally better and smelled non-poisonous like the Victorpest product.
1122533|44628|86|14|2|1|0|3.8335403727|2|NonRx:personal care:feminine care:maxi pads:|Kotex|I really don't like these. I slept in one, and it didn't protect me at all...I found them too long and when I woke up, the pad had bunched in the back of my panties and there were leaks. I'll stick with my other brand
1124778|86897|96|10|5|0|0|3.7900862069|5|NonRx:medicine & health:home health care:daily living aids:|Comfort Personal Cleansing|Wonderful, convenient product. The cloths are very thick and soft, and they clean and deodorize the skin thoroughly without any irritation. The best thing about these cloths is that they're UNSCENTED. The other Comfort Bath cloths (in the slightly paler blue packaging and in the Value Size box) have a strong and somewhat unpleasant fragrance.
1162978|84554|68|4|4|0|0|4.4726923077|5|NonRx:household, food & pets:food & snacks:tea:|Traditional Medicinals|I took this tea from about 34-39 weeks until I ran out of it. It has a nice flavor, not sweet like alot of other teas out there.@My whole labor (first pregnancy) lasted about 3 hours, and it might have been due to this tea. Baby was born totally healthy. I really believe the statement that it tones and strenghthens the uterus-- mine seemed to be pretty strong when it did what it needed to do.
1804318|158297|163|3|2|0|0|16.297692308|1|NonRx:baby & mom:mom & maternity:maternity clothes:|Medela|Not well made- it served the purpose the day I left the hospital, but it wasn't very supportive as I got smaller- it doesn't wrap tightly or stay put well. Other post natal supports may cost more, but you truly get what you pay for on this one- and you don't get much. I had to go out and buy another brand to support me after a couple of days- so this was wasted money.
1805693|28384|75|6|1|0|0|14.683877551|5|NonRx:diet & fitness:sports nutrition:amino acids:l-arginine:|Twinlab|I started taking Twin Labs Arginine only and switched to these.  I have noticed better results with the ornithine addition.  I read a little about it and there was no proven benefits from it however I have really noticed a difference.  I take 1 before a workout, playing softball or golf.  I will also take one after a workout as it tends to keep my muscles pumped up much longer.  I have seen better muscle strength and stamina from these.  I have also found that I am not as sore after hard workouts.  I've been able to hold mass and muscle strength over longer time periods since taking these.  Try them and see what you think, they're worth it i.m.o.
1806494|34699|64|14|10|0|1|5.7039215686|5|NonRx:vitamins:calcium & minerals:zinc:|Twinlab|My son is zinc deficient and has a hard time swallowing large capsules. These are very small and very easy to swallow.
1806663|78084|97|2|6|3|1|15.99|1|NonRx:household, food & pets:electronics:cameras:|Kodak|The film winder/ forwarder was broken. I couldn't take any picture after carrying it all the way to Greece. Next time for things like this, I'll not buy from drugstore.com. [...]
2752156|161453|75|15|0|0|1|2.0456489676|4|NonRx:household, food & pets:laundry & cleaning supplies:floor care:brooms, mops|Swiffer|it's nice and easy$@i like the new ones with a pleasant smell
2864679|36019|97|1|8|0|0|6.7516923077|5|NonRx:beauty:makeup & accessories:lips:lipstick:|Revlon Super Lustrous - Crem|I love love love this pink its a pretty matte kinda bright not too bright, but natral its kinda drying so I would reconmend a chapstick under.
2901240|92653|60|4|5|0|0|38.942380952|5|NonRx:household, food & pets:home accessories:travel:|Travel Smart by Conair|I'm deployed overseas and ordered this converter after several of my electronics wouldn't charge properly.  This was the trick!  It's worked perfectly every time.  It's compact and contains adaptors for various regions.
2929528|200266|74|1|2|2|0|5.8431578947|1|NonRx:beauty:tools & accessories:cosmetic bags:|SOHO|The size of the item is much smaller that it looks, I was hoping that it would be large enough to carry full sized items which only can pack at least 3 full sized items (if that much)
3342418|41698|68|0|2|10|1|12.921625|4|NonRx:vitamins:supplements a-z:dhea:|GNC|I bought this for my mom and it balanced the body system and nutritions pretty well.
3345958|181930|180|6|0|0|1|20.6290625|5|NonRx:personal care:foot care:odor control:|Gehwol|There is nothing that is not great about the foot file and foot deo. I play tennis and have deep cracks in my heels, and hard skin on my toes and sides of my feet. The foot file and foot deo get rid of both and keep it away - I use it daily because I play tennis five days a week. Now, I love wearing sandals in summer, because me feet look so beautiful and well taken care of. I highly recommend these products. I have tried many other brands and they were all always disappointing. To me, the name Gehwol is a synonym for quality.
3390607|195806|70|4|1|0|1|14.87|5|NonRx:vitamins:natural vitamins:condition specific:sleep & relaxation:|Enzymatic Therapy|An easy, effective, and inexpensive way to improve you quality of health.
3782299|205408|77|4|5|0|0|11.877435897|4|NonRx:beauty:manicure & pedicure:cuticle treatments:|OPI|My job is tough on my hands: handle lots of paper, constantly washing my hands, really dry environment. It's especially tough in winter, and this cuticle treatment is one of the few things I've found that works! My cuticles have been easier to trim, I don't know if I'd say it exfoliates, but it certainly keeps them soft and I don't get as many painful hangnails. I use it every time I wash my hands, and if I forget, it becomes PAINFULLY obvious! I'd definitely reccommend this for anyone whose hands gets really dry, especially if you like to keep your nails painted.
4311147|161231|190|2|0|0|0|6.95875|2|NonRx:medicine & health:cough, cold & flu:adult cold medicine:|Alka-Seltzer Plus|I used this (both the night and day capsules) for 4 days during one of the worst colds I've ever experienced. It did not do anything for me, but it did reduce my headaches and the night version helped me fall asleep. I found tea to be more effective in improving my sore throat, congestion, and cough. This product might work for others, but I personally will not purchase it again.
4655497|41137|155|10|5|5|1|15.480921053|4|NonRx:GNC store:vitamins & minerals:targeted health formulas:hair, nails & skin f|GNC Men's|have been using it for years and will continue to.
4657411|200154|137|1|19|0|0|9.3542857143|5|NonRx:household, food & pets:outdoor & garden:insect & pest control:|Combat|"Got roaches?? Even if you don't, use this product. You sorta set up a protective ""barrier"" against them. Have infestation?? Use this...you will see a difference after 1 month!! I lived in the city, roaches EVERYWHERE!! yuck!! I used this product and it's like they disappeared. I have tried other brands that have a gel. None are like this. I noticed the ingredients are different in COMBAT. Whatever it is, USE IT. No smelly fumes. I use plastic gloves when I apply it. Aply a thin line anywhere. I use it in every spot!!  Inside cabinets, near pipes, in the vanity, in your closet."
4770190|149236|72|1|0|0|1|11.42902439|4|NonRx:beauty:makeup & accessories:face:foundations:liquid foundation:|Revlon Colorstay for Combo/O|I think they may have changed the formula because it's thicker than it used to be but it doesn't cover quite as well.  I still love it though and feel it's worth every penny. Helps give me a great base for aplying the rest of my makeup.
4785709|204673|127|3|9|0|1|16.753870968|5|NonRx:vitamins:by condition:mood support:|New Chapter|"This is one of the best St. John's Wort in my opinion. I j take it when I feel like I'm a ""10 on the whirly bird scale"", stressed out or a bit blue. I can usually feel the differenece after a couple of weeks. It just mellows me out. I have tried cheaper St. John's Worts including the GNC brand, but couldnt feel any difference, so apparently you do get what you pay for with SJW. Wholefoods charges about $29 for same size, so I buy it from Drugstore [@]"
4805380|216468|119|1|18|1|1|23.630769231|3|NonRx:beauty:makeup & accessories:intimate accessories:|Bring It Up!|Bring It Up Face Lifts really work. My only complaint is that they do not hold up for more than an hour or so on me. I have followed directions, and even tried a few tricks of my own, but a few hours is the most I can out of them. I carry them with me and reapply when necessary.
4819972|56361|67|1|2|18|1|7|4|NonRx:beauty:hair care:ethnic hair care:ethnic conditioners & relaxers:|Just for Me!|I don't use this stuff.
4963725|149834|132|2|0|2|1|6.1566666667|4|NonRx:medicine & health:pain & fever relief:menstrual pain relief:|Pamprin Maximum Strength|My daughter (16) and I (42) both suffer terribly with our periods. We find this to help ease the symptoms.
5067873|209813|89|8|0|0|1|39.99|5|NonRx:medicine & health:home health care:thermometers:|Mabis|This is a good product.  Accurate, easy to use, minimally invasive, not-threatening to children.
5130485|217103|102|8|2|0|0|31.846923077|5|NonRx:beauty:hair care:salon hair care:salon conditioners:deep treatment:|Paul Mitchell|This product was recommended by my longtime hairstylist almost 10 years ago. I have used it as a regular conditioner after each shampoo (shampoos of different brands) and also for deep conditioning 1-2X/week. My hair is thick, wavy and below the shoulder.$@$@Several years ago, my scalp would get irritated after being colored - itching, flaky.  Products recommended by a dermatologist didn't help and only made my hair dry.  Once my stylist recommended this product to me, my scalp became much calmer. I adjust use depending on how my scalp feels and the climate conditions, e.g. desert vs. humid.$@$@Paul Mitchell also has a regular Tea Tree conditioner.  I didn't find it as good and the smell isn't great.  This deep scalp treatment is much b
5352427|189170|62|3|2|0|0|5.3009090909|5|NonRx:beauty:hair care:ethnic hair care:ethnic styling products:|Smooth 'n Shine Polishing|I have very frizzy, out of control hair (type 3C) and this works well to keep my hair in curls and spirals rather than outright frizz and fuzz.
5611643|41721|65|1|1|0|1|15.12173913|5|NonRx:GNC store:vitamins & minerals:supplements:supplements g-o:other supplements|GNC|Helps Me sleep better and more naturally
5680233|88627|108|5|12|7|1|8.8983333333|2|NonRx:vitamins:herbs:other herbs:|Nature's Way|A coworker takes bee pollen and it seems to be working for her but she is not taking the same brand. She is noticing more energy and last lost weight. The only slight thing happening for me is a decrease in appetite. We are at different health levels so this and the fact that she is taking a different, more expensive, brand may be the reason why it isnt working for me.
5975041|68373|62|1|0|0|1|81.644375|5|NonRx:beauty:skin care:dermatologist skin care:anti-aging:fine lines:|Cellex-C|I've paired this with Cellex C's advanced serum and the combination has really helped fine lines, dryness and texture (both used before the moisturizer).  I'm a big fan!
6151672|220123|84|9|1|0|1|21.351836735|5|NonRx:diet & fitness:yoga & pilates:|Gaiam|This mat is great.  I have ample room to do my poses and my little one even has room to work out beside me.  I love that she is motivated to exercise.
6163621|12822|95|6|0|6|0|9.8008108108|1|NonRx:medicine & health:condoms, fertility & pregnancy tests:condoms & contracept|Trojan Ultra Ribbed|Spermicide will cause unvisable irritation that causes tiny opening that allows HIV to enter persons body.  $@$@The Aids Health Organization does not recommend spermicide products.  Spermicide should be used only for persons in a monogamous relationship.
6257912|171598|90|3|0|3|0|12.027037037|1|NonRx:beauty:tools & accessories:tweezers:|Tweezerman|these tweezers do not remove a hair.
6322702|194768|64|3|1|0|0|9.993220339|5|NonRx:beauty:makeup & accessories:face:concealers:|IMAN Corrective|"I am one of those people who rely heavily on reviews but rarely take the time to review a product for others.  But today I am changing my ways.  This is the BEST concealer I have used for under the eye.  And believe me, I have tried many high end products.  I would not use it for blemishes around the chin because it is a bit thick, but it is perfect to fill dark circles or ""bags"" under the eye, particularly if you have an awesome foundation to use on top.  My only regret is that I did not get auto-delivery, but believe you me, I will be having this delivered every 30 days to my doorstep."
6465291|201742|64|2|1|0|1|13.523333333|4|NonRx:personal care:shaving & hair removal:shaving:electronic shavers:men's elect|Panasonic|Shave dry
6503609|184729|70|3|0|0|0|27.897671233|5|NonRx:vitamins:by condition:antioxidants:antioxidant formulas:|NOW Foods|This is a really great product it does what it says and by the grace of God, much more!
6507758|224121|106|12|2|0|1|6.1033333333|5|NonRx:GNC store:vitamins & minerals:minerals:|GNC|Bones feeling stronger than before.
6530765|213220|163|13|3|2|1|37.737943925|5|NonRx:GNC store:vitamins & minerals:joint health:|GNC|I paly badminton everyday. sometimes I feel a pain on my knees. $@when I take it I feel comfortable and flexible.
6535545|42424|103|10|2|2|1|8.0338461538|5|NonRx:vitamins:vitamins a-k:vitamin c:vitamin c 1000mg:|GNC|My husband and I use this product daily.
6594509|224009|66|5|3|3|0|7.6|1|NonRx:vitamins:herbs:ginkgo biloba:|Doctor's Best|I have used different forms of Ginkoba over the years and have always noticed it helps me stay focused.  I generally bought cheap ones.  Tried this one and noticed no impact at all.  Either it is my own body or this brand is no good.
6934001|68334|69|5|2|0|1|93.74|5|NonRx:beauty:skin care:dermatologist skin care:anti-aging:serums:|Cellex-C|I have been using this product for over 18 years. I prefer to purchase the duo because it stays fresher and is better for my pocketbook than purchasing the larger containers separately.$@I  receive many compliments on my skin and they want to know what is my secret and I tell them Cellex C.  What could be nicer for a woman who is 70!
7104662|228906|167|11|3|0|0|20.296486486|5|NonRx:vitamins:herbs:basil:|Gaia Herbs|I have been diagnosed with an adrenal tumor, but due to related issues I think my adrenals have struggled for years. For several weeks I felt like I was going to die I felt so ill, but from the first day of taking these I saw a marked improvement in the way I feel. After only a week of taking them I feel almost normal again. I have a cold and I think if I did not have that I would feel almost 100% better.  I feel strong and healthy for the first time in months. I LOVE THIS PRODUCT!
7273063|41274|221|6|0|3|1|5.3934615385|3|NonRx:vitamins:herbs:other herbs:|Nature's Way|It helps with my constipation a little.  Not sure that it helps my desire though.  I have seen one pleasant side effect-my bra cups are a fuller than before taking it.
7398530|184733|124|10|0|1|1|6.7589010989|5|NonRx:vitamins:by condition:energy:|Y.S. Organic Bee Farms|I wash down a mouthful of bee pollen in the morning, especially if I'm am feeling under-rested or under the weather. I also take bee pollen when I'm about to engage in a lot of physical exercise, and when I experience stomach problems. For stomach aches it feels just like a Tums when you eat it so I have eliminated Tums from my house. Put bee pollen on a pb&j to give it more crunch and nutrients! This is the cheapest bee pollen I have seen around and it is good quality. Some people look specifically for local bee pollen and chances are this stuff is not local for you.
7406345|194488|70|0|0|0|1|0.9425|1|NonRx:beauty:manicure & pedicure:nail polish:|Wet n Wild Wild Shine|The color is very different than the bottle shown on the site. It is a loud, cheap looking 80's hot pink, and chips easily. Very disappointed.
7423767|233332|60|5|7|1|1|1.9233333333|5|NonRx:personal care:lip balm:lip balm w/ spf:|Dr. Collins|After looking through the ingredients of nearly every lip balm on drugstore.com, I chose this one. Why? Because it contains quality ingredients (most of them organic), a non-metallic sunscreen, and no petrochemicals, herbs, or other unnecessary ingredients. It is a simple, effective formulation.
7458974|41825|68|1|1|1|1|10.482222222|4|NonRx:GNC store:vitamins & minerals:for women:menopause:|GNC SuperFoods|I started using this product over ten years ago well before beginning menopause.  I seemed to get hot flashes and within 3 weeks of taking the soy isoflavone with the cranberry I noticed a significant reduction in the hot flashes and occasional moodiness.$@    In addition the cranberry improved my urinary tract issues.
7478603|214976|138|9|6|4|1|17.204347826|5|NonRx:beauty:hair care:salon hair care:salon styling products:sprays:|Redken|I use it with my curling iron and my hot rollers.
7659099|221807|92|1|0|4|0|53.36|1|NonRx:diet & fitness:sports nutrition:protein:whey protein:|Nature's Best|purchased this product to help after bariatric surgery. thought it would be an easy way to get my needed protein during the time I cannot eat solid food.  Description of product is way off. mixed with water or juice, the product mixes thick, milky, has a horrible rotten milk smell and sickly milky taste.
